ID	LANGUAGE	FILENAME	NUMBER	FRENCH	MALAGASY	FORM
1	Sakalava (Ambanja)	01-Sakalava.Ambanja.txt	1	je	izaho	zaho
2	Sakalava (Ambanja)	01-Sakalava.Ambanja.txt	2	tu	ianao	anao
3	Sakalava (Ambanja)	01-Sakalava.Ambanja.txt	3	il	izy	izy
4	Sakalava (Ambanja)	01-Sakalava.Ambanja.txt	4	nous	isika	atsika
5	Sakalava (Ambanja)	01-Sakalava.Ambanja.txt	5	vous	ianareo	anareo
6	Sakalava (Ambanja)	01-Sakalava.Ambanja.txt	6	ils	izy ireo	iro
7	Sakalava (Ambanja)	01-Sakalava.Ambanja.txt	7	ceci	ity	ty
8	Sakalava (Ambanja)	01-Sakalava.Ambanja.txt	8	cela	izany	zegny
9	Sakalava (Ambanja)	01-Sakalava.Ambanja.txt	9	ici	eto	eto
10	Sakalava (Ambanja)	01-Sakalava.Ambanja.txt	10	là	ao	ry
11	Sakalava (Ambanja)	01-Sakalava.Ambanja.txt	11	qui	iza	azovy
12	Sakalava (Ambanja)	01-Sakalava.Ambanja.txt	12	que (qu'est-ce que; quoi)	inona	ino
13	Sakalava (Ambanja)	01-Sakalava.Ambanja.txt	13	où	aiza	aia
14	Sakalava (Ambanja)	01-Sakalava.Ambanja.txt	14	quand	oviana	mbiagna
15	Sakalava (Ambanja)	01-Sakalava.Ambanja.txt	15	comment	ahoana	karakory
16	Sakalava (Ambanja)	01-Sakalava.Ambanja.txt	16	ne pas	tsy	tsy
17	Sakalava (Ambanja)	01-Sakalava.Ambanja.txt	17	tout	rehetra	ziaby
18	Sakalava (Ambanja)	01-Sakalava.Ambanja.txt	18	beaucoup	betsaka	maro
19	Sakalava (Ambanja)	01-Sakalava.Ambanja.txt	19	quelques	vitsivitsy	helihely
20	Sakalava (Ambanja)	01-Sakalava.Ambanja.txt	20	peu	kely	hely
21	Sakalava (Ambanja)	01-Sakalava.Ambanja.txt	21	autre	hafa	hafa
22	Sakalava (Ambanja)	01-Sakalava.Ambanja.txt	22	un	iray	araiky
23	Sakalava (Ambanja)	01-Sakalava.Ambanja.txt	23	deux	roa	aroe
